Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
"M&A",2016/10/22,"Time Warner Inc","AT&T Inc","",109885.70,"Cash and Stock",13.87,"Completed"
"M&A",2019/6/9,"Raytheon Co","RTX Corp","",90016.87,"Stock",17.01,"Completed"
"M&A",2019/1/3,"Celgene Corp","Bristol-Myers Squibb Co","",88848.19,"Cash and Stock",15.25,"Completed"
"M&A",2019/6/25,"Allergan Ltd/Ireland","AbbVie Inc","",83791.24,"Cash and Stock", ,"Completed"
"M&A",2017/12/14,"TFCF Corp","Walt Disney Co/The","",83343.34,"Cash or Stock",11.95,"Completed"
"M&A",2015/5/26,"Time Warner Cable Inc","Former Charter Communications Parent Inc","",79249.70,"Cash and Stock",9.82,"Completed"
"M&A",2018/3/8,"Evernorth Health Inc","Cigna Group/The","",68369.38,"Cash and Stock",9.37,"Completed"
"M&A",2017/12/3,"Aetna Inc","CVS Health Corp","",68113.12,"Cash and Stock",15.81,"Completed"
"M&A",2023/10/11,"Pioneer Natural Resources Co","Exxon Mobil Corp","",67995.45,"Stock",5.39,"Completed"
"M&A",2022/1/18,"Activision Blizzard Inc","Microsoft Corp","",67883.41,"Cash",17.97,"Completed"
"M&A",2014/5/18,"DIRECTV","AT&T Inc","",66668.80,"Cash and Stock",8.38,"Completed"
"M&A",2016/5/18,"Monsanto Co","Bayer AG","",65695.72,"Cash",20.57,"Completed"
"M&A",2015/12/11,"EIDP Inc","DuPont de Nemours Inc","",65349.87,"Stock",13.40,"Completed"
"M&A",2014/11/17,"Allergan Inc/United States","Allergan Ltd/Ireland","",65024.28,"Cash and Stock",31.23,"Completed"
"M&A",2016/10/21,"Reynolds American Inc","British American Tobacco PLC","",58735.52,"Cash and Stock",9.44,"Completed"
"M&A",2019/5/9,"Anadarko Petroleum Corp","Occidental Petroleum Corp","",55162.46,"Cash and Stock",8.05,"Completed"
"M&A",2023/10/23,"Hess Corp","Chevron Corp","",53800.13,"Stock",9.45,"Completed"
"M&A",2014/6/15,"Covidien Ltd","Medtronic PLC","",46235.92,"Cash and Stock",17.05,"Completed"
"M&A",2015/10/12,"EMC Corp","Dell Technologies Inc","",46091.66,"Cash and Stock",8.80,"Completed"
"M&A",2020/11/30,"IHS Markit Ltd","S&P Global Inc","",43598.58,"Stock",25.03,"Completed"
"M&A",2016/9/6,"Spectra Energy Corp","Enbridge Inc","",42223.61,"Stock",19.80,"Completed"
"M&A",2012/10/15,"Sprint Communications Inc","SoftBank Group Corp","",39739.41,"Cash",9.90,"Completed"
"M&A",2025/3/7,"Walgreens Boots Alliance Inc","Sycamore Partners LLC","",39411.56,"Cash", ,"Completed"
"M&A",2020/12/12,"Alexion Pharmaceuticals Inc/MA","AstraZeneca PLC","",38762.48,"Cash and Stock",43.22,"Completed"
"M&A",2011/10/16,"El Paso LLC","Kinder Morgan Inc","",37572.46,"Cash and Stock",17.44,"Completed"
"M&A",2022/4/25,"Twitter Inc","Private Investor","",36760.26,"Cash", ,"Completed"
"M&A",2015/8/10,"Precision Castparts Corp","Berkshire Hathaway Inc","",35657.61,"Cash",13.02,"Completed"
"M&A",2016/1/11,"Baxalta Inc","Shire PLC","",35544.70,"Cash and Stock",25.37,"Completed"
"M&A",2024/8/14,"Kellanova","Mars Inc","",35478.03,"Cash",17.21,"Completed"
"M&A",2024/2/20,"Discover Financial Services","Capital One Financial Corp","",34394.12,"Stock",4.21,"Completed"
"M&A",2011/7/21,"Medco Health Solutions Inc","Evernorth Health Inc","",34321.55,"Cash and Stock",11.34,"Completed"
"M&A",2020/10/27,"Xilinx Inc","Advanced Micro Devices Inc","",34092.30,"Stock",37.23,"Completed"
"M&A",2016/10/31,"Level 3 Communications Inc","Lumen Technologies Inc","",33500.20,"Cash and Stock",12.63,"Completed"
"M&A",2024/1/15,"ANSYS Inc","Synopsys Inc","",32790.94,"Cash and Stock",41.66,"Completed"
"M&A",2018/10/28,"Red Hat Inc","International Business Machine","",31802.52,"Cash",52.76,"Completed"
"M&A",2021/9/15,"Kansas City Southern/Old","Canadian Pacific Kansas City L","",30206.99,"Cash and Stock",42.10,"Completed"
"M&A",2016/4/28,"St Jude Medical Inc","Abbott Laboratories","",30107.67,"Cash and Stock",23.30,"Completed"
"M&A",2015/5/28,"Broadcom Corp","Avago Technologies Ltd","",29805.90,"Cash or Stock",27.00,"Completed"
"M&A",2017/9/5,"Collins Aerospace","RTX Corp","",29500.19,"Cash and Stock",21.18,"Completed"
"M&A",2018/4/30,"Andeavor","Marathon Petroleum Corp","",29019.66,"Cash or Stock",10.45,"Completed"
"M&A",2021/12/20,"Cerner Corp","Oracle Corp","",29005.19,"Cash",20.95,"Completed"
"M&A",2015/7/1,"Chubb Corp/The","Chubb Ltd","",28985.65,"Cash and Stock", ,"Completed"
"M&A",2016/1/25,"Johnson Controls Inc","Johnson Controls International plc","",28667.27,"Cash or Stock",9.98,"Completed"
"M&A",2019/2/7,"SunTrust Banks Inc","Truist Financial Corp","",27894.88,"Stock", ,"Completed"
"M&A",2013/2/14,"Kraft Heinz Foods Co","Berkshire Hathaway Inc,3G Capital Inc (Fund: 3G Special Situations Fund III LP)","",27597.25,"Cash",14.05,"Completed"
"M&A",2014/7/15,"Lorillard LLC","Reynolds American Inc","",26477.06,"Cash and Stock",12.97,"Completed"
"M&A",2022/6/13,"Duke Realty Corp","Prologis Inc","",26315.78,"Stock",39.67,"Completed"
"M&A",2011/1/10,"Progress Energy Inc","Duke Energy Corp","",25531.05,"Stock",8.14,"Completed"
"M&A",2019/5/28,"Total System Services Inc","Global Payments Inc","",25014.23,"Stock",19.53,"Completed"
"M&A",2017/4/23,"CR Bard Inc","Becton Dickinson and Co","",24119.17,"Cash and Stock",20.54,"Completed"
"M&A",2024/5/28,"Marathon Oil Corp","ConocoPhillips","",22921.61,"Stock",5.22,"Completed"
"M&A",2010/4/22,"Qwest Communications International Inc","Lumen Technologies Inc","",22161.55,"Stock",5.18,"Completed"
"M&A",2019/8/13,"Viacom Inc","Paramount Global","",21943.45,"Stock",7.86,"Completed"
"M&A",2023/9/12,"Westrock Co","Smurfit Westrock PLC","",20859.98,"Cash and Stock",6.89,"Completed"
"M&A",2014/2/18,"Forest Laboratories Inc","Allergan Ltd/Ireland","",20781.04,"Cash and Stock",60.36,"Completed"
"M&A",2024/7/7,"Paramount Global","Skydance Media LLC","",20257.47,"Cash or Stock",69.37,"Completed"
"M&A",2020/7/13,"Maxim Integrated Products Inc","Analog Devices Inc","",19762.28,"Stock",24.48,"Completed"
"M&A",2018/10/14,"L3 Technologies Inc","L3Harris Technologies Inc","",19551.88,"Stock",14.57,"Completed"
"M&A",2010/8/29,"Genzyme Corp","Sanofi","",19138.11,"Cash",62.39,"Completed"
"M&A",2015/3/25,"Kraft Foods Group Inc","Kraft Heinz Foods Co","",18443.09,"Cash and Stock",8.11,"Completed"
"M&A",2018/7/11,"CA Inc","Broadcom Inc","",18128.00,"Cash",13.67,"Completed"
"M&A",2011/9/21,"Goodrich Corp","RTX Corp","",18052.60,"Cash",12.89,"Completed"
"M&A",2015/9/17,"Cablevision Systems Corp","Canada Pension Plan Investment Board,BC Partners Holdings Ltd (Fund: BC European Capital IX LP),Altice Europe NV","",17812.09,"Cash",9.82,"Completed"
"M&A",2017/2/10,"Mead Johnson Nutrition Co","Reckitt Benckiser Group PLC","",17809.81,"Cash",19.39,"Completed"
"M&A",2025/10/21,"Hologic Inc","Blackstone Inc,TPG Inc","",17547.27,"Cash",16.75,"Completed"
"M&A",2019/11/25,"Tiffany & Co","LVMH Moet Hennessy Louis Vuitton SE","",17443.43,"Cash",14.39,"Completed"
"M&A",2015/2/5,"Hospira Inc","Pfizer Inc","",16807.25,"Cash",23.20,"Completed"
"M&A",2011/1/31,"Prologis","Prologis Inc","",16475.28,"Stock",35.64,"Completed"
"M&A",2013/2/5,"Dell Inc","MSD Capital LP,Private Investor,Silver Lake Management LLC (Fund: Silver Lake Partners III LP),Silver Lake Management LLC (Fund: Silver Lake Partners IV LP)","",16435.60,"Cash",4.86,"Completed"
"M&A",2014/9/22,"Sigma-Aldrich Corp","Merck KGaA","",16394.56,"Cash",19.94,"Completed"
"M&A",2022/11/1,"ABIOMED Inc","Johnson & Johnson","",16270.94,"Cash",56.52,"Completed"
"M&A",2024/2/5,"Catalent Inc","Novo Holdings A/S","",16208.41,"Cash",55.13,"Completed"
"M&A",2020/8/2,"Varian Medical Systems Inc","Siemens Healthineers AG","",16109.35,"Cash",34.57,"Completed"
"M&A",2014/1/13,"Beam Suntory Inc","Suntory Holdings Ltd","",15946.59,"Cash",21.11,"Completed"
"M&A",2024/12/9,"Interpublic Group of Cos Inc/The","Omnicom Group Inc","",15915.52,"Stock",8.00,"Completed"
"M&A",2022/3/29,"Nielsen Holdings PLC","Elliott Management Corp,Private Investor,Brookfield Business Partners LP","",15491.58,"Cash",10.54,"Completed"
"M&A",2013/4/15,"Life Technologies Corp","Thermo Fisher Scientific Inc","",15402.34,"Cash",13.27,"Completed"
"M&A",2018/3/5,"XL Group Ltd","AXA SA","",15200.60,"Cash", ,"Completed"
"M&A",2015/11/16,"Starwood Hotels & Resorts Worldwide LLC","Marriott International Inc/MD","",15158.57,"Cash and Stock",14.52,"Completed"
"M&A",2015/8/26,"Cameron International Corp","SLB Ltd","",15154.20,"Cash and Stock",14.11,"Completed"
"M&A",2017/7/31,"Scripps Networks Interactive Inc","Warner Bros Discovery Inc","",14986.60,"Cash and Stock",10.92,"Completed"
"M&A",2020/2/20,"E*TRADE Financial Corp","Morgan Stanley","",14507.65,"Stock",7.89,"Completed"
"M&A",2018/1/3,"SCANA Corp","Dominion Energy Inc","",14504.33,"Stock",27.57,"Completed"
"M&A",2022/1/31,"Citrix Systems Inc","Elliott Management Corp,Vista Equity Partners LLC (Fund: Vista Foundation Fund IV LP)","",14436.81,"Cash",26.98,"Completed"
"M&A",2015/6/1,"Altera Corp","Intel Corp","",14354.62,"Cash",24.85,"Completed"
"M&A",2015/10/21,"SanDisk LLC","Western Digital Corp","",14162.36,"Cash and Stock",10.47,"Completed"
"M&A",2015/12/7,"Keurig Green Mountain Inc","Mondelez International Inc,BDT Capital Partners LLC (Fund: BDT Capital Partners Fund II LP),JAB Holding Co Sarl,Jacobs Douwe Egberts BV","",13976.17,"Cash",13.55,"Completed"
"M&A",2015/5/13,"Pall Corp","Danaher Corp","",13779.46,"Cash",22.04,"Completed"
